,No universal default passwords,,,,,Implement a means to manage reports of vulnerabilities,,,Keep software updated,,,,,,,,,,,,,,,,Securely store sensitive security parameters,,,,Communicate securely,,,,,,,,Minimize exposed attack surfaces,,,,,,,,,Ensure software integrity,,Ensure that personal data is secure,,,Make systems resilient to outages,,,Examine system telemetry data,Make it easy for users to delete user data,,,,Make installation and maintenance of devices easy,,,Validate input data,Statistics,,,,
Camera,5.1-1,5.1-2,5.1-3,5.1-4,5.1-5,5.2-1,5.2-2,5.2-3,5.3-1,5.3-2,5.3-3,5.3-4,5.3-5,5.3-6,5.3-7,5.3-8,5.3-9,5.3-10,5.3-11,5.3-12,5.3-13,5.3-14,5.3-15,5.3-16,5.4-1,5.4-2,5.4-3,5.4-4,5.5-1,5.5-2,5.5-3,5.5-4,5.5-5,5.5-6,5.5-7,5.5-8,5.6-1,5.6-2,5.6-3,5.6-4,5.6-5,5.6-6,5.6-7,5.6-8,5.6-9,5.7-1,5.7-2,5.8-1,5.8-2,5.8-3,5.9-1,5.9-2,5.9-3,5.10-1,5.11-1,5.11-2,5.11-3,5.11-4,5.12-1,5.12-2,5.12-3,5.13-1,Total Pass,Total Fail,Grand Total,% Pass,% Fail
Conico,Pass,Pass,Fail,Fail,Fail,Fail,OOS,Pass,Fail,Fail,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Pass,OOS,OOS,OOS,OOS,Pass,Fail,OOS,Fail,OOS,Fail,Fail,Pass,Pass,OOS,Fail,Fail,Fail,Pass,OOS,Pass,Pass,Pass,OOS,Pass,Pass,Pass,Pass,OOS,Fail,Fail,OOS,OOS,OOS,OOS,OOS,Pass,OOS,Pass,Pass,OOS,Pass,OOS,OOS,25,17,42,60%,40%
Pambrum,Fail,Fail,Fail,Fail,Fail,Fail,OOS,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,OOS,OOS,OOS,OOS,Pass,Fail,OOS,Fail,OOS,Fail,Fail,Fail,Pass,OOS,Fail,Fail,Fail,Fail,OOS,Pass,Fail,Fail,OOS,Fail,Pass,Fail,Fail,OOS,Fail,Fail,OOS,OOS,OOS,OOS,OOS,Pass,OOS,Pass,Pass,OOS,Pass,OOS,OOS,8,34,42,19%,81%
Eversecu,Pass,Fail,Pass,Pass,Pass,Fail,OOS,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,OOS,OOS,OOS,OOS,Pass,Fail,OOS,Pass,OOS,Pass,Pass,Pass,Pass,OOS,Pass,Pass,Pass,Pass,OOS,Pass,Fail,Pass,OOS,Pass,Pass,Pass,Pass,OOS,Pass,Pass,OOS,OOS,OOS,OOS,OOS,Pass,OOS,Pass,Pass,OOS,Pass,OOS,OOS,38,4,42,90%,10%
Camakt,Pass,Pass,Pass,Pass,Pass,Fail,OOS,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,OOS,OOS,OOS,OOS,Pass,Fail,OOS,Pass,OOS,Pass,Pass,Pass,Pass,OOS,Pass,Pass,Pass,Pass,OOS,Pass,Pass,Pass,OOS,Pass,Pass,Pass,Fail,OOS,Pass,Pass,OOS,OOS,OOS,OOS,OOS,Pass,OOS,Pass,Pass,OOS,Pass,OOS,OOS,37,5,42,88%,12%
Akaso,Pass,Pass,Fail,Fail,Fail,Fail,OOS,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,OOS,OOS,OOS,OOS,Pass,Pass,OOS,Fail,OOS,Fail,Fail,Pass,Fail,OOS,Fail,Fail,Fail,Pass,OOS,Pass,Pass,Pass,OOS,Pass,Pass,Pass,Pass,OOS,Fail,Fail,OOS,OOS,OOS,OOS,OOS,Pass,OOS,Pass,Pass,OOS,Pass,OOS,OOS,29,13,42,69%,31%
DCT,Pass,Pass,Pass,Pass,Pass,Fail,OOS,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,OOS,OOS,OOS,OOS,Pass,Fail,OOS,Pass,OOS,Pass,Pass,Pass,Pass,OOS,Pass,Pass,Pass,Pass,OOS,Pass,Fail,Pass,OOS,Pass,Pass,Pass,Pass,OOS,Pass,Pass,OOS,OOS,OOS,OOS,OOS,Fail,OOS,Fail,Fail,OOS,Pass,OOS,OOS,35,7,42,83%,17%
VicZone,Fail,Fail,Fail,Fail,Fail,Fail,OOS,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,OOS,OOS,OOS,OOS,Pass,Fail,OOS,Fail,OOS,Fail,Fail,Fail,Fail,OOS,Fail,Fail,Fail,Fail,OOS,Pass,Fail,Fail,OOS,Fail,Pass,Fail,Pass,OOS,Fail,Fail,OOS,OOS,OOS,OOS,OOS,Pass,OOS,Pass,Pass,OOS,Pass,OOS,OOS,8,34,42,19%,81%
WOHOME,Pass,Pass,Pass,Pass,Pass,Fail,OOS,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,OOS,OOS,OOS,OOS,Pass,Fail,OOS,Pass,OOS,Pass,Pass,Pass,Pass,OOS,Pass,Pass,Pass,Pass,OOS,Pass,Fail,Pass,OOS,Pass,Pass,Pass,Pass,OOS,Pass,Pass,OOS,OOS,OOS,OOS,OOS,Pass,OOS,Pass,Pass,OOS,Pass,OOS,OOS,39,3,42,93%,7%
Feit Electric,Fail,Fail,Pass,Pass,Pass,Fail,OOS,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,OOS,OOS,OOS,OOS,Pass,Fail,OOS,Fail,OOS,Pass,Pass,Pass,Pass,OOS,Pass,Pass,Pass,Pass,OOS,Pass,Pass,Pass,OOS,Fail,Pass,Fail,Fail,OOS,Pass,Pass,OOS,OOS,OOS,OOS,OOS,Pass,OOS,Pass,Pass,OOS,Pass,OOS,OOS,32,10,42,76%,24%
