,Hardware Integrity,,,,,Local Access,,,,,Mobile Security,,,,,,,Wi-Fi Security,,,,Service Security,,,,,,,,,,,Hardware Security,,,,Firmware Updates,,,,,,,,End-user Privacy,,,,,,Binary Hardening,,,,,,Linux Hardening,,,,,,,,,,Statistics,,,,,,,
Camera,HW-01,HW-02,HW-03,HW-04,HW-05,LA-01,LA-02,LA-03,LA-04,LA-05,MS-01,MS-02,MS-03,MS-04,MS-05,MS-06,MS-07,WF-01,WF-02,WF-03,WF-04,SS-01,SS-02,SS-03,SS-04,SS-05,SS-06,SS-07,SS-08,SS-09,SS-10,SS-10,HS-01,HS-02,HS-03,HS-04,FW-01,FW-02,FW-03,FW-04,FW-05,FW-06,FW-07,FW-08,EP-01,EP-02,EP-03,EP-04,EP-06,EP-07,BH-01,BH-02,BH-03,BH-04,BH-05,BH-06,LH-01,LH-02,LH-03,LH-04,LH-05,LH-06,LH-07,LH-08,LH-09,LH-10,Total Pass,Total Fail,Total N/A,Total Unknown,Grand Total,% Pass,% Pass or N/A,% Fail
Conico,Fail,Fail,Pass,Pass,Fail,Fail,Pass,Pass,Pass,Fail,Fail,Fail,Fail,Pass,Fail,N/A,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Pass,Pass,Pass,Pass,N/A,N/A,Fail,Pass,Fail,Pass,Unknown,Pass,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Fail,Fail,Pass,Pass,Fail,Fail,Pass,Fail,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23,23,18,1,65,35%,63%,35%
Pambrum,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Pass,N/A,N/A,Fail,Pass,Fail,Fail,Fail,Pass,N/A,N/A,Fail,Fail,Pass,N/A,N/A,Fail,Pass,N/A,Pass,Fail,Pass,Pass,Fail,N/A,N/A,N/A,Unknown,N/A,Unknown,Unknown,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass,15,37,11,3,66,23%,39%,56%
Eversecu,Fail,Fail,Fail,Fail,Fail,Fail,Pass,N/A,Fail,Fail,Fail,Fail,Fail,Pass,Fail,N/A,Fail,Pass,Fail,Fail,Pass,Pass,N/A,N/A,Pass,Pass,Pass,N/A,N/A,Fail,Pass,N/A,Pass,Unknown,Pass,Pass,Pass,Unknown,Unknown,Pass,Unknown,Pass,Unknown,Unknown,Pass,Pass,Fail,Fail,Fail,Fail,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17,20,22,6,65,26%,60%,31%
Camakt,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Pass,Pass,Pass,Fail,Fail,Fail,Pass,Fail,N/A,Fail,Pass,Fail,Fail,Fail,Pass,N/A,N/A,Pass,Pass,Pass,N/A,N/A,Fail,Pass,N/A,Pass,Fail,Pass,Pass,Pass,Pass,Fail,Pass,Unknown,Pass,Unknown,Unknown,Pass,Unknown,Fail,Fail,Fail,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Fail,Unknown,Unknown,19,21,6,19,65,29%,38%,32%
Akaso,Fail,Fail,Pass,Fail,Fail,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,N/A,Unknown,Pass,Fail,Pass,N/A,Fail,Fail,Fail,Pass,Pass,Pass,N/A,N/A,Fail,Pass,Pass,Pass,Unknown,Pass,Pass,Pass,Pass,Fail,Pass,Unknown,Pass,Unknown,Unknown,Pass,Unknown,Fail,Pass,Pass,Pass,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27,13,20,6,66,41%,71%,20%
DCT,Fail,Fail,Pass,Pass,Fail,Fail,Pass,Fail,N/A,Fail,Fail,Fail,Fail,Pass,Fail,N/A,Pass,Pass,Fail,Pass,N/A,Pass,N/A,N/A,Pass,Pass,Pass,N/A,N/A,Fail,Pass,Pass,Pass,Unknown,Pass,Pass,Pass,Pass,Pass,Pass,Unknown,Pass,Unknown,Unknown,Fail,Fail,Fail,Fail,Pass,Fail,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22,17,23,4,66,33%,68%,26%
VicZone,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Pass,Fail,Pass,Pass,N/A,N/A,Unknown,Pass,Fail,Fail,Fail,Fail,Fail,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Pass,N/A,Fail,N/A,Pass,Pass,Fail,N/A,N/A,N/A,Unknown,N/A,Unknown,Unknown,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass,16,38,8,4,66,24%,36%,58%
WOHOME,Fail,Fail,Fail,Pass,Fail,Fail,Fail,N/A,Fail,Pass,Pass,Pass,Pass,Pass,Fail,N/A,Unknown,Pass,Fail,Pass,N/A,Pass,N/A,N/A,Pass,Pass,Pass,N/A,N/A,Fail,Pass,Pass,Fail,N/A,Pass,Pass,Pass,Unknown,Unknown,Pass,Unknown,Pass,Unknown,Unknown,Pass,Unknown,Fail,Pass,Pass,Fail,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22,13,24,7,66,33%,70%,20%
Feit Electric,Fail,Fail,Pass,Pass,Fail,Fail,Pass,Pass,N/A,Pass,Pass,Fail,Pass,Pass,Fail,N/A,Pass,Pass,Fail,Pass,N/A,Pass,N/A,N/A,Pass,Pass,Pass,N/A,N/A,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Fail,Pass,Unknown,Pass,Unknown,Unknown,Pass,Pass,Fail,Fail,Pass,Fail,Fail,Fail,Pass,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Unknown,30,25,7,4,66,45%,56%,38%
