Type,Vendor,Model,Released Month,Price,Video Quality,UPC,Serial Number,Vendor Security Page,FCC ID,Amazon ID,Vendor Product Page,User Manual,Security Claims on Box?,Security Claims in Manual?,Device ID,Mobile Application,Mobile Application ID,Mobile Application Version,Mobile Application Release Date,Mobile Application APK,Mobile Application Tuya Based?,Mobile Application Senisitive Data Protected?,Prevents MITMMobile Application ,Mobile Application Root Detection Prompt,Mobile Application Password Input Masked?,Mobile Application Password Policy,Mobile Application Two-step Verification?,Mobile Application Two-step Verification Required?,Mobile Application All HTTP Traffic Encrypted?,Default Device Password,USB Port Type,USB Power Delivery?,USB Mass Storage?,USB Device Listing?,USB Android Debug?,SD Card Type,SD Card Format,SD Card Obfuscated Recordings?,OS UART,OS UART Baud,Other UART,Other UART Baud,Bootloader,Bootloader Version,Bootloader Access?,OS User Login Automatic?,OS User Login Prompt?,Boot Output Leaks Secrets?,Wi-Fi?,Wi-Fi MAC Address,Wi-Fi 2.4Ghz Radio?,Wi-Fi 5Ghz Radio?,Wi-Fi WPA 3 Supported?,Wi-Fi WPS Supported?,Wi-Fi QR Code Scan Pairing?,Wi-Fi Temporary Network Pairing?,Wi-Fi Passphrase for Pairing?,Bluetooth?,Bluetooth Version,Bluetooth Manual Pairing?,Bluetooth Six Digit PIN?,Ethernet?,Ethernet MAC Address,Zigbee?,System on Chip,Processor,Processor Architecture,Flash Memory,Flash Package,Wi-Fi Chipset,MMU Available?,Secure Boot Available?,Secure Boot Used?,Hardware Cryptography?,Hardware RNG?,TPM in Use?,Exterior Tamper Evident?,Interior Tamper Evident?,Silk Screened Debug Ports?,Debug Headers Present?,Operating System,Operating System Version,Filesystem Used,Encrypted Filesystem?,Firmware Update Feature?,Firmware Update User Prompt?,Firmware Update Forced?,Firmware Update Request by User?,Firmware Manual Upload?,Firmware Encrypted at Rest?,Firmware Hash Verified?,Firmware Signature Verified?,Firmware Encrypted in Transit?,Firmware Download URL,Firmware Download SSL Labs Score,Firmware Download Authentication?,Factory Reset Feature Documented?,External Data Deleted After Factory Reset?,Factory Reset All Sensitive Data Removed?,IMA in Use?,Watchdog in Use?,cgroups Used?,seccomp-bpf Used?,Root for Major Processes,Mandatory Access Controls Used?,DAC Appropriate?,Malware Detection?,Accounts With Passwords?,Password Hashing,NTP Used?,Secure NTP in Use?,Version,Build Date,Signed Modules?,KASLR Used?,Containers Used?,Container Runtime,Container Networking Mode,Container Reduced Capabilities?,Container Namespaces Used?,Host-based Firewall Used?,Packet Forwarding?,Sample Binary for Hardening Checks,Binary RELRO?,Binary Stack Canaries?,Binary NX?,Binary PIE?,Binary Symbols Gone?,Binary Fortify?,System ASLR Setting,Streaming Service?,Streaming Encrypted?,Streaming Port,Streaming Authentication?,Streaming LED Notification?,Telnet Service?,FTP Service?,SSH Service?,Web Server Port,Web Server Encrypted?,Web Server Authentication?,Web Server Banner,Web Server Session Timeouts?,Web Server SSL Scan Score,Web Server Brute Force Throttled?,MQTT Used?,MQTT Port
Baby Monitor,Sense-U,SU-WA002,Mar,$129.99,1080p,None,None,No,No,B07YFCFCPN,https://www.products.sense-u.com/sense-u-video-baby-monitor,https://shop.sense-u.com/pages/user-manual-video,Yes,No,ebb599015f7907cabasgbx,Sense-U Baby Monitor New,com.senseu.baby,3.2.1,06/19/2021,https://apkpure.com/store/apps/details?id=com.senseu.baby,Yes,No,No,No,Yes,6+ characters,No,N/A,No,No,Micro B,Yes,No,No,No,MicroSD,FAT 32,Yes,Yes,57600,No,N/A,U-Boot,2014.01-v1.2,Password,No,Yes,Yes,Yes,6A:57:2D:01:75:39,Yes,No,No,No,Yes,No,N/A,No,N/A,N/A,N/A,No,N/A,No,RTS3903N,MIPS,32-bit MIPS,25Q127CSIG,SOIC,RTL8188FTV,Yes,No,N/A,No,No,No,No,No,No,No,Linux,N/A,SquashFS,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Yes,md5crypt,Yes,No,3.10.27,12/07/2018,No,No,No,N/A,N/A,N/A,N/A,No,No,tycam,No,Yes,No,No,Yes,No,Unknown,No,N/A,N/A,N/A,Yes,No,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,8883
Baby Monitor,Kami Baby,Kami Baby Monitor,Nov,$99.99,1080p,6970171175750,BY501CUSO09002498,No,2AFIB-YYS5019,B07PYTWTML,https://kamihome.com/kamibaby/,https://fccid.io/2AFIB-YYS5019/User-Manual/user-manual-4820166.pdf,Yes,No,TNPUSAK-898731-PDPMX,Kami Home,com.yitechnology.kamihome,2.7.4_20210711,07/12/2021,https://apkpure.com/store/apps/details?id=com.yitechnology.kamihome,No,Yes,No,No,Yes,"8-16 1N,1U,1L",No,N/A,Yes,No,Micro B,Yes,No,No,No,MicroSD,FAT 32,No,Yes,115200,No,N/A,U-Boot,2018.05-00004-gf5d8011-dirty,Yes,Yes,N/A,No,Yes,B8:C6:AA:1B:45:B0,Yes,No,No,No,Yes,No,N/A,No,N/A,N/A,N/A,No,N/A,No,QG2101C,ARM Cortex-A7,32-bit ARM,QH256BXIQ,NAND,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,XiaoYi Linux,N/A,SquashFS,No,Yes,No Update Found,No Update Found,Yes,No,Yes,Yes,No,No,http://download.us.xiaoyi.com/yifirmware/smarthomecam/familymonitor-y501gc/1.3.0.0C_202005291205,N/A,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,None,No,N/A,4.9.118,Unknown,No,No,No,N/A,N/A,N/A,N/A,No,No,cloud,No,No,Yes,No,Yes,No,2,No,N/A,N/A,N/A,Yes,No,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A
Baby Monitor,Motorola,Connect40,Jan,$129.99,720p,816479018268,434510H003877,https://www.lenovo.com/us/en/product-security/reporting-a-vulnerability/,VLJ-CF85BU,B081D7YKVQ,https://motorolababy.com/product/connect40/,https://fccid.io/VLJ-CF85BU/User-Manual/User-Manual-5005208.pdf,Yes,No,016335000AE299CFB5LBXGSEQW,Hubble Connected,com.hubble.care,1.01.21,08/21/2021,https://apkpure.com/store/apps/details?id=com.hubble.care,No,Yes,No,No,Yes,"8-30 1U,1L,1N",No,N/A,Yes,No,No,N/A,N/A,N/A,N/A,No,N/A,N/A,Yes,115200,No,N/A,Unknown,Unknown,No,No,Yes,No,Yes,00:0A:E2:99:CF:B5,Yes,No,No,No,Yes,No,N/A,No,N/A,N/A,N/A,No,N/A,No,AK3918EN080,ARM926EJ-S,32-bit ARM,XT26G01BWSEG,NAND,RTL8189FTV,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Anyka Linux,1.1.12,YAFFS2,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,http://h2o-ota.hubble.in.s3.amazonaws.com/eb63b228-dc5d-4e5b-a513-bc197d63a24a/6335-03.40.08.fw.pkg,B,Yes,Yes,N/A,Yes,No,Yes,No,No,Yes,No,No,No,Unknown,Unknown,Yes,No,3.4.35,08/07/2020,No,No,No,N/A,N/A,N/A,N/A,No,No,crypto,No,No,No,No,No,No,Unknown,No,N/A,N/A,N/A,Yes,No,No,No,8080,No,No,None,N/A,N/A,N/A,Yes,8883
Baby Monitor,VTech,VM901,Mar,$139.95,1080p,None,6C500098194,No,EW780-1957-00,B07WCV632L,https://www.vtechphones.com/amazon/vm901-smart-hd-video-baby-monitor,https://m.media-amazon.com/images/I/C1hn9d4VGgS.pdf,No,No,BM1H59XJSSXYKRX5111A,MyVTech Baby 1080p,com.cams.vtech.mvb,4.1.0.92,08/17/2021,https://apkpure.com/store/apps/details?id=com.cams.vtech.mvb,No,No,Yes,No,Yes,"8-12 1U,1N",No,N/A,Unknown,No,No,N/A,N/A,N/A,N/A,No,N/A,N/A,Yes,115200,No,N/A,U-Boot,2016.11,Yes,No,No,No,Yes,14:AE:DB:EB:94:23,Yes,No,No,No,Yes,No,N/A,No,N/A,N/A,N/A,No,N/A,No,Hi3518E v300,ARM Cortex-A7,32-bit ARM,W25N01GVZEIG,NAND,RTL8189FTV,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Linux,N/A,YAFFS2,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,https://cdn2-vt2.vtp-media.com/pmgt/firmware/fw-pmgt/ota-test/vm901c/cam_signed/data_901c_1009.bin,B,No,Yes,N/A,No,No,Yes,No,No,Yes,No,No,No,Yes,descrypt,Yes,No,4.9.37,10/11/2019,No,No,No,N/A,N/A,N/A,N/A,No,No,vt_cam,Partial,Yes,No,No,Yes,No,2,No,N/A,N/A,N/A,Yes,No,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A
Baby Monitor,CellBee,SC-AI04,Aug,$102.73,1080p,850012821410,None,No,2AS4ASCAI01,B08FMK21MC,https://www.simcam.ai/simcam-baby,https://fccid.io/2AS4ASC-AI04/User-Manual/User-Manual-4928135.pdf,No,No,5f2f95b20f80612914991a00,SimHome,com.simshine.aiot,1.2.4,08/12/2021,https://apkpure.com/store/apps/details?id=com.simshine.aiot,No,No,No,No,Yes,None,No,N/A,No,No,USB C,Yes,No,No,No,MicroSD,FAT 32,No,Yes,115200,No,N/A,U-Boot,SPL 2013.07,Yes,No,Yes,Yes,Yes,30:4A:26:2A:36:8A,Yes,Yes,No,No,Yes,No,N/A,No,N/A,N/A,N/A,No,N/A,No,Ingenic T31,MIPS,32-bit MIPS,25Q128JVSQ,SOIC,RTL8811CU,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Linux,N/A,SquashFS,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,https://www.simshine.ai/images/baby/update.zip,B,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,sha512,Yes,No,3.10.14,05/20/2020,No,No,No,N/A,N/A,N/A,N/A,No,No,babymonitor,No,No,No,No,Yes,No,2,No,N/A,N/A,N/A,Yes,Yes,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A
Doorbell,Eufy,T8222,Jul,$129.99,1080p,None,T8222P0020341D44,https://us.eufylife.com/pages/vulnerability-disclosure-policy,2AOKB-TB220,B08DXD8LSR,https://us.eufylife.com/products/e8222113,https://d2211byn0pk9fi.cloudfront.net/spree/accessories/attachments/84689/51005002471_E8222_EN_QSG_110x140mm_V01_20200914.pdf?1600927138,Yes,No,N/A,Eufy Security,com.oceanwing.battery.cam,3.2.1_1030,08/11/2021,https://apkpure.com/store/apps/details?id=com.oceanwing.battery.cam,No,No,No,No,Yes,"8-20 U,L,N,S",Yes,No,Yes,No,Micro B,Yes,No,No,No,MicroSD,EXT4,Yes,Yes,115200,WLAN,115200,U-Boot,2016.11,No,No,Yes,No,Yes,8C:85:80:52:92:C8,Yes,No,No,No,Yes,No,N/A,Yes,5,No,No,No,N/A,No,Hi3518E v300,ARM Cortex-A7,32-bit ARM,25Q128JVSQ,SOIC,XR871,Yes,Yes,Unknown,Yes,Yes,No,No,No,No,No,LiteOS,1.0.1.0,JFFS2,No,Yes,No,Yes,Yes,No,No,No,No,Yes,https://eufy-security-pr.s3-us-west-2.amazonaws.com/security/980483fd-1cd2-4c17-ae83-7b3abab6141e_T8020_7628_2.1.2.2m_2.7.img,B,No,Yes,No,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,Yes,No,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A
Doorbell,Victure,VD300,Feb,$54.99,1080p,None,060076586,No,2AREL-VD300,B084DNJHDL,https://govicture.com/products/victure-video-doorbell-wireless-wifi-only-2-4g?variant=40145114628288,https://m.media-amazon.com/images/I/B1DxN8Dz+1S.pdf,No,No,ppsl3086bd5f1dbd4e79,CloudEdge,com.cloudedge.smarteye,3.0.5,07/16/2021,https://apkfab.com/cloudedge/com.cloudedge.smarteye,No,No,No,No,No,6-20 characters,No,N/A,Yes,No,Micro B,Yes,No,No,No,MicroSD,FAT 32,Yes,Yes,115200,No,N/A,U-Boot,2016.11-g52cd25b-dirty,No,No,No,No,Yes,AC:64:CF:FA:29:6E,Yes,No,No,No,Yes,No,N/A,No,N/A,N/A,N/A,No,N/A,No,Hi3518E v300,ARM Cortex-A7,32-bit ARM,QH64AHIG,SOIC,3131A-S,Yes,Yes,Unknown,Yes,Yes,No,No,No,No,No,LiteOS,1.0.0.5,JFFS2,No,Yes,No Update Found,No Update Found,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,Yes,No,No,No,80,No,Yes,None,No,N/A,No,Yes,1883
Doorbell,Euarne,K-BELL 1c,Jul,$47.69,720p,610452767453,None,No,No,B08CWRDPSC,No,Not Found,No,No,eb5017d44379fdc64crzdc,Smart Life,com.tuya.smartlife,3.29.5,07/31/2021,https://apkpure.com/smart-life-smart-living/com.tuya.smartlife,Yes,Yes,Yes,Yes,Yes,6-20 characters,No,N/A,Unknown,No,Micro B,Yes,No,No,No,MicroSD,FAT 32,Yes,Yes,115200,No,N/A,U-Boot,2010.06,Yes,Yes,N/A,No,Yes,D4:D2:D6:38:85:1E,Yes,No,No,No,Yes,No,N/A,No,N/A,N/A,N/A,No,N/A,No,Hi3518E v200,ARM926EJ-S,32-bit ARM,25Q64FWSIQ,SOIC,3131A-S,Yes,No,N/A,Yes,Yes,No,No,No,Yes,No,LiteOS,1.4.6,JFFS2,No,Yes,No Update Found,No Update Found,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,Yes,No,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,8883
Doorbell,Energizer,EOD1-1002-SIL,Mar,$49.99,1080p,805106870409,058172967,No,2AG7C-BELL5S,B085T8LNLP,https://energizerconnect.com/product/smart-1080p-video-doorbell/,https://fccid.io/2AG7CBELL5S/User-Manual/User-Manual-4487207.pdf,No,No,eb980fb023917c02aesqu6,Energizer Connect,com.xtreme.energizer,4.2.0,04/20/2021,https://apkpure.com/store/apps/details?id=com.xtreme.energizer,Yes,Yes,No,Yes,Yes,6-20 characters,Yes,No,Yes,No,Micro B,Yes,No,No,No,MicroSD,FAT 32,Yes,Yes,115200,No,N/A,U-Boot,2016.11-svn2,No,No,Yes,No,Yes,AC:5D:5C:F9:09:D1,Yes,No,No,No,Yes,No,N/A,No,N/A,N/A,N/A,No,N/A,No,Hi3518E v300,ARM Cortex-A7,32-bit ARM,QH64AHIG,SOIC,RTL8188FTV,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Linux,N/A,CramFS,No,Yes,Yes,No,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,Yes,No,Yew,No,No,Yes,No,No,No,Yes,md5crypt,Yes,No,4.9.37,07/22/2019,No,No,No,N/A,N/A,N/A,N/A,No,No,ppsapp,Partial,Yes,No,No,Yes,No,Unknown,No,N/A,N/A,N/A,Yes,No,No,No,80,No,Yes,None,No,N/A,No,Yes,8883
Doorbell,Wuuk,W0001,Oct,$89.00,1080p,860003488805,HXNAP1N81IWGL6BM,No,2AWHY-W0001,B08K3L1SPY,https://www.wuuklabs.com/,https://fccid.io/2AWHY-W0001/User-Manual/user-manual-4740419.pdf,No,No,None,Wuuk,com.wuuklabs.android.store,3.1.0,08/13/2021,https://apkpure.com/store/apps/details?id=com.wuuklabs.android.store,No,No,No,No,Yes,8+ characters,Yes,No,Yes,No,Micro B,Yes,No,No,No,MicroSD,FAT 32,No,Yes,57600,WLAN,115200,U-Boot,2013.07,No,No,Yes,Yes,Yes,B2:B3:53:06:ED:C6,Yes,No,No,No,Yes,No,N/A,No,N/A,N/A,N/A,No,N/A,No,MT7628NN,MIPS,32-bit MIPS,W25Q128BV,SOIC,XR871,Yes,No,N/A,Yes,No,No,No,No,Yes,No,Linux,N/A,JFFS2,No,Yes,Yes,No,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,descrypt,Yes,No,3.18.27,10/25/2019,No,No,No,N/A,N/A,N/A,N/A,No,Yes,Ppcs_xmitech,No,No,No,No,Yes,No,2,No,N/A,N/A,N/A,No,No,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,8883
